code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
sz.159845,ma5_gt_ma20,all,240,0.3489073431280483,0.17244861578301285,1.9072773743913547,-0.08613527393092613,0.47684284767520513,-0.12793550454715685,0.1107926802345272,-1.15472885281177,0.017748226925150774,0.7069586977602637,0.7090656465691925,0.8002338435337605
sh.512100,ma5_gt_ma20,all,355,0.3506832304501222,0.18148591124890368,1.8220876109583948,-0.08199188691675918,0.24424954938164523,0.10643368106847695,0.1337116310662452,0.7959941870408129,0.15218296488106742,0.6459777393724706,0.6534458694742488,0.813850407925165
sz.159845,ret20_gt_0,all,240,0.3812573277788378,0.20065536452793423,1.800387089718428,-0.1336353340883346,0.47684284767520513,-0.09558551989636732,0.04657502296543355,-2.0522914173828264,-0.048962726768523826,0.9514413127845838,0.9485937223419273,0.8958333333333334
sz.159845,close_gt_ma20,all,240,0.3608949707256064,0.1922767955884762,1.7729386933159257,-0.1336353340883344,0.47684284767520513,-0.11594787694959874,0.07104144351803944,-1.632116004514411,-0.036856678989248944,0.8783227329380751,0.8803842846531945,0.8952777971788421
sh.512100,ret20_gt_0,all,355,0.32670196350754144,0.20026407685708258,1.5314876652911529,-0.1312176093629237,0.24424954938164523,0.08245241412589621,0.1045474746494234,0.788660026484446,0.10706369243674235,0.7828318759104121,0.7881179912069495,0.8603676224503448
sh.588000,ret20_gt_0,all,795,0.3537941247992029,0.2780159840675644,1.2006292584892642,-0.19268292682926724,0.20976288443685065,0.14403124036235226,0.18567698747598593,0.7757086234554521,0.164890424655674,0.6903237268838873,0.6935197045252828,0.5187374626815919
sh.588000,close_gt_ma20,all,795,0.35617186068254636,0.2828914341562936,1.1883423111949585,-0.2420830757820105,0.20976288443685065,0.1464089762456957,0.17714226310201867,0.8265050569065879,0.1621564760179511,0.7162439101725013,0.7210660117226478,0.48646454305627684
sh.588000,ma5_gt_ma20,all,795,0.3491383375975601,0.27741244137365645,1.1864584586321139,-0.20674983557563298,0.20976288443685065,0.13937545316070943,0.18274615551412504,0.7626724226761457,0.1605246433787488,0.6936333449391716,0.7032355089196968,0.5008934773575686
sh.588080,close_gt_ma20,all,795,0.33746944317795435,0.27446072757775947,1.1567026218277796,-0.2378103886381594,0.20431837358223448,0.13315106959571987,0.1856900601505845,0.7170608350696942,0.1567948177571494,0.6837365862499734,0.689860429157908,0.4782577466252104
sh.588080,ma5_gt_ma20,all,795,0.2815234283419614,0.25033722278231085,1.0446845476486646,-0.2138683230936418,0.20431837358223448,0.07720505475972694,0.21678112642531883,0.35614288029970226,0.13330925936516394,0.5705057194222198,0.5773154255121831,0.48040482316066724
