code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
sh.588080,ma5_gt_ma20,bear_close_le_ma200,203,0.043074310613493205,0.11430692449178265,0.2018627543001735,-0.09939701563369407,-0.2420378346082359,0.2851121452217291,0.24786233034330077,1.1502842921989624,0.07491499320440066,0.17730964751398728,0.18033363086374365,0.1349858111779138
sh.588080,ret20_gt_0,bear_close_le_ma200,203,0.04022418418183937,0.11703455602585013,0.17280523691970376,-0.10653810838203592,-0.2420378346082359,0.2822620187900753,0.24705318045812982,1.1425152198674593,0.07427937613089582,0.18419096662986284,0.18563741150000912,0.14242171028545356
sh.588000,ma5_gt_ma20,bear_close_le_ma200,202,0.038633424468238475,0.12024907283160488,0.15495690760404002,-0.10874815853199638,-0.3109633419290717,0.3495967663973102,0.22957994482759267,1.5227670111160903,0.10266064959459027,0.21572856488714742,0.21651463671594973,0.14780736781613094
sh.588080,close_gt_ma20,bear_close_le_ma200,203,0.00540261793350405,0.11290939525061501,-0.12928403375197814,-0.10706774594544266,-0.2420378346082359,0.24744045254173996,0.24944651782847785,0.9919579342930845,0.03606207113329185,0.16993533816220002,0.16977131453790129,0.1446197006566891
sh.588000,ret20_gt_0,bear_close_le_ma200,202,-0.009811843280253973,0.12237710322787847,-0.24360638137300344,-0.14127343893376443,-0.3109633419290717,0.30115149864881774,0.2282540985141933,1.3193695123511289,0.05814545745635711,0.22407773429453556,0.2255446325198771,0.1615197618014882
sh.588000,close_gt_ma20,bear_close_le_ma200,202,-0.02593595271429694,0.11848916396169312,-0.3876806214038929,-0.13105689449442937,-0.3109633419290717,0.2850273892147748,0.23088740033373495,1.234486545401713,0.03554918150644927,0.20813108338111588,0.20756400607690928,0.15750986639752917
sz.159949,ret20_gt_0,bear_close_le_ma200,673,-0.04328720146142273,0.1604462054846995,-0.39444498715463816,-0.3554282653316194,-0.2560561044452009,0.21276890298377815,0.21093812657657166,1.008679210519782,0.052031967394332045,0.36980169652429773,0.38255074226163766,0.38910700530437786
sz.159915,ma5_gt_ma20,bear_close_le_ma200,903,-0.06792973708657313,0.19330340845728386,-0.45487939291046603,-0.46502777806374274,-0.27324364072022755,0.20531390363365443,0.17583390578711472,1.1676582096869967,0.0946129904921627,0.5464716254389294,0.5545067547183795,0.448992302928682
sh.510500,close_gt_ma20,bear_close_le_ma200,888,-0.06008579056056984,0.1700187426743655,-0.47104095290221637,-0.3973324207368216,-0.23605800778945019,0.17597221722888035,0.15329354985602234,1.1479427372786295,0.07624264400596542,0.5494539000332626,0.5709942416335294,0.4415468731221051
sz.159949,ma5_gt_ma20,bear_close_le_ma200,673,-0.06984739918079963,0.19065637474403427,-0.47125305566847303,-0.3525422569938025,-0.2560561044452009,0.18620870526440125,0.18548999247548642,1.0038746715082745,0.06929823547538855,0.513492836617371,0.5223676445616359,0.43332868939504476
sz.159915,close_gt_ma20,bear_close_le_ma200,903,-0.07691147313915703,0.18262109246553154,-0.5306696605018305,-0.4184231952383044,-0.27324364072022755,0.19633216758107053,0.18042095952207154,1.0881893550569024,0.0705766556812156,0.5057560589193126,0.5321461769676801,0.3947506154803153
sz.159949,close_gt_ma20,bear_close_le_ma200,673,-0.07710169566678005,0.17209692697884185,-0.5642267841233333,-0.36474685474324475,-0.2560561044452009,0.17895440877842084,0.20017235873491787,0.8940015989690399,0.034060895748238354,0.4274322759643717,0.44422044939231287,0.43578857666654935
sz.159915,ret20_gt_0,bear_close_le_ma200,903,-0.0821615942750823,0.172616463463797,-0.5918415441091964,-0.4128235824871188,-0.27324364072022755,0.19108204644514526,0.19354110447681813,0.9872943887639775,0.044536259385685444,0.4447864839610578,0.46066939950186603,0.4117602432024556
