code,trend,risk_free_annual,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,max_drawdown,avg_position
sz.159845,ma5_gt_ma20,0.02,492,0.21869308787708763,0.12797955913576198,1.5525376803830997,0.27879963915485195,-0.06010655127776432,0.1931327434193124,-0.31121885504037183,0.0945165988508601,0.35088100635876623,0.527312578915031,-0.07691478281420128,0.4318032442087444
sh.512100,ma5_gt_ma20,0.02,607,0.15416927377589995,0.11994287561146888,1.118609780630195,0.14665902357656035,0.0075102501993395965,0.2148107791820654,0.03496216636770446,0.0861722296227871,0.2885092206183061,0.43440386337783954,-0.07644139407733042,0.3893817071168636
sz.159845,ret20_gt_0,0.02,492,0.14470539219293888,0.13229435052074956,0.94263580948137,0.27879963915485195,-0.13409424696191308,0.1904015695360066,-0.7042707015950028,0.028367446385531524,0.3663515462549626,0.5379514616637882,-0.11816818934568585,0.44271265671696175
sz.159845,close_gt_ma20,0.02,492,0.1256553115872181,0.12658835210665834,0.8346369142889001,0.27879963915485195,-0.15314432756763385,0.19542159695952865,-0.7836612224561326,0.017195769285390735,0.3420178912827702,0.5120823278286013,-0.093861822898484,0.428240517173525
sh.588080,close_gt_ma20,0.02,1047,0.1195393602611996,0.1287046702365034,0.7733935379212689,0.09039692874866345,0.02914243151253615,0.23740099191987163,0.12275614889752609,0.066121675347799,0.3031252495608862,0.5606049029307334,-0.2206668483909242,0.27113876544965787
sh.588000,close_gt_ma20,0.02,1047,0.11584536672326062,0.1278471685781204,0.7496870504777333,0.0959847717482114,0.019860594975049217,0.23975997447519695,0.08283532319571457,0.06162564898750582,0.29829695066445455,0.5551836476562347,-0.21759605944638694,0.27996973794866764
sh.588000,ret20_gt_0,0.02,1047,0.10657202131802812,0.12583663074482226,0.6879715453728504,0.0959847717482114,0.010587249569816715,0.2407905244759685,0.04396871344027223,0.053620066246412246,0.2933682504025147,0.5542852541630772,-0.21848609714177303,0.24939034012422306
sh.588080,ret20_gt_0,0.02,1047,0.10307465788500814,0.12647681010172096,0.6568370740706856,0.09039692874866345,0.012677729136344684,0.2384160248128077,0.05317481971397939,0.05161818663450878,0.29792326387108475,0.5607745612295583,-0.23045583938828929,0.24489475906603775
sh.588080,ma5_gt_ma20,0.02,1047,0.10149870280371798,0.12854001649504826,0.6340337042578297,0.09039692874866345,0.011101774055054525,0.2372623790800401,0.0467911267605951,0.049842990286096296,0.30324120518780695,0.5624721223485711,-0.21371879130760918,0.2730911240945695
sh.588000,ma5_gt_ma20,0.02,1047,0.09767338995489583,0.12735975637194774,0.6098738892688724,0.0959847717482114,0.0016886182066844224,0.24065799003345825,0.0070166721098670224,0.045480181625660955,0.2955718782650139,0.5492664218538206,-0.21064557962479413,0.2796541312232562
sh.512100,ret20_gt_0,0.02,607,0.09568148680489497,0.12690419061551395,0.596367121036923,0.14665902357656035,-0.05097753677166539,0.21033797132476925,-0.24236012380738556,0.031280055621031165,0.3126168241579254,0.45561284961085113,-0.13073073318429096,0.40829647707350947
sh.512100,close_gt_ma20,0.02,607,0.09027803417672864,0.11882586707537722,0.5914371668935329,0.14665902357656035,-0.056380989399831716,0.21608019173158197,-0.26092622811936883,0.029904508996270604,0.28309041981972444,0.4261392707099768,-0.1096566253474257,0.3874044083697407
sz.159949,ret20_gt_0,0.02,2096,0.08539336083988136,0.12519754785645854,0.5223214189055535,0.12572286397291688,-0.040329503133035516,0.24810617728999454,-0.1625493712955687,0.028602010179307927,0.27640574158128733,0.5000996276646146,-0.2592783663299558,0.2952585289062468
sz.159949,ma5_gt_ma20,0.02,2096,0.07777119887270278,0.12691170337660804,0.4552078124841478,0.12572286397291688,-0.04795166510021409,0.24626932374182842,-0.19471229453849181,0.020792328624078905,0.28293707293843284,0.5099533192911803,-0.31227201195678855,0.3054665947148059
sz.159949,close_gt_ma20,0.02,2096,0.0671214165294014,0.12377744728205411,0.38069468682792346,0.12572286397291688,-0.058601447443515475,0.25012387004946,-0.23428970386523887,0.012432144772547915,0.26978379351796367,0.48741930630446373,-0.291877567708961,0.3045605391446217
