code,trend,date,close,pred_daily_vol,pred_variance,trend_value,mu_hat_next_day,kelly_raw,position
sh.510050,close_gt_ma20,2026-05-28,2.985,0.0088017872933867,7.747145955802358e-05,0.0,-0.0001958727509245987,-2.52832142368373,0.0
sh.510050,ma5_gt_ma20,2026-05-28,2.985,0.0088017872933867,7.747145955802358e-05,0.0,-0.0001528926879037914,-1.9735356578544876,0.0
sh.510050,ret20_gt_0,2026-05-28,2.985,0.0088017872933867,7.747145955802358e-05,0.0,-0.00029763109931588345,-3.8418160831598573,0.0
sh.510300,close_gt_ma20,2026-05-28,4.932,0.0101460802466759,0.00010294294437198689,1.0,0.00010510664716725533,1.0210184661850146,1.0
sh.510300,ma5_gt_ma20,2026-05-28,4.932,0.0101460802466759,0.00010294294437198689,1.0,6.733840003443235e-05,0.6541332234592335,0.6541332234592335
sh.510300,ret20_gt_0,2026-05-28,4.932,0.0101460802466759,0.00010294294437198689,1.0,0.0003174526313288893,3.08377260108052,1.0
sh.510500,close_gt_ma20,2026-05-28,8.649,0.0141189502629578,0.0001993447565278761,0.0,0.000488961302985578,2.452842560306834,1.0
sh.510500,ma5_gt_ma20,2026-05-28,8.649,0.0141189502629578,0.0001993447565278761,1.0,0.0006593074521243294,3.307372933243583,1.0
sh.510500,ret20_gt_0,2026-05-28,8.649,0.0141189502629578,0.0001993447565278761,1.0,0.0006581455781481259,3.3015444680436916,1.0
sh.512100,close_gt_ma20,2026-05-28,3.472,0.0143132860297212,0.00020487015696861205,0.0,0.00046613941302938756,2.2752919211205773,1.0
sh.512100,ma5_gt_ma20,2026-05-28,3.472,0.0143132860297212,0.00020487015696861205,1.0,0.0018365629632749111,8.964521677778032,1.0
sh.512100,ret20_gt_0,2026-05-28,3.472,0.0143132860297212,0.00020487015696861205,1.0,0.001062779937638661,5.187578090260791,1.0
sh.588000,close_gt_ma20,2026-05-28,1.942,0.0303137100183201,0.0009189210150748004,1.0,0.0015236746629400076,1.6581127626251753,1.0
sh.588000,ma5_gt_ma20,2026-05-28,1.942,0.0303137100183201,0.0009189210150748004,1.0,0.0011256553410834789,1.2249750768751875,1.0
sh.588000,ret20_gt_0,2026-05-28,1.942,0.0303137100183201,0.0009189210150748004,1.0,0.0017499780102725555,1.9043834905985981,1.0
sh.588080,close_gt_ma20,2026-05-28,1.884,0.0303519013715772,0.00092123791686995,1.0,0.0013385392868016368,1.4529789344206907,1.0
sh.588080,ma5_gt_ma20,2026-05-28,1.884,0.0303519013715772,0.00092123791686995,1.0,0.0010236755876228392,1.111195673644152,1.0
sh.588080,ret20_gt_0,2026-05-28,1.884,0.0303519013715772,0.00092123791686995,1.0,0.0016567205877974656,1.7983634384333997,1.0
sz.159845,close_gt_ma20,2026-05-28,3.572,0.014063413255472,0.00019777959239418555,0.0,0.0007699906433219815,3.893175397931593,1.0
sz.159845,ma5_gt_ma20,2026-05-28,3.572,0.014063413255472,0.00019777959239418555,1.0,0.0021854516458197906,11.04993502799857,1.0
sz.159845,ret20_gt_0,2026-05-28,3.572,0.014063413255472,0.00019777959239418555,1.0,0.0013397314067693077,6.773860692862334,1.0
sz.159915,close_gt_ma20,2026-05-28,4.138,0.0195208429593892,0.0003810633098451349,1.0,0.00019959730892121774,0.5237904142551394,0.5237904142551394
sz.159915,ma5_gt_ma20,2026-05-28,4.138,0.0195208429593892,0.0003810633098451349,1.0,0.00048118272310074175,1.2627369538576034,1.0
sz.159915,ret20_gt_0,2026-05-28,4.138,0.0195208429593892,0.0003810633098451349,1.0,0.0007320952256054886,1.9211905389238706,1.0
sz.159949,close_gt_ma20,2026-05-28,2.003,0.0209293834349279,0.0004380390909662343,1.0,0.0008289384509754007,1.8923846480160336,1.0
sz.159949,ma5_gt_ma20,2026-05-28,2.003,0.0209293834349279,0.0004380390909662343,1.0,0.0009026090412398652,2.060567332584118,1.0
sz.159949,ret20_gt_0,2026-05-28,2.003,0.0209293834349279,0.0004380390909662343,1.0,0.000981163906091262,2.239900333842337,1.0
