code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
sz.159915,ret20_gt_0,bear_close_le_ma200,944,-0.034343185697452094,0.14858312849699098,-0.3657426401447229,-0.2804497708243433,-0.2764290405285287,0.24208585483107659,0.20248821649359106,1.1955552724162535,0.0675973902722559,0.3600919994111371,0.39722863165588285,0.3334276325558813
sh.510500,ma5_gt_ma20,bear_close_le_ma200,928,-0.07339012754203411,0.18039932193370722,-0.5176855796406648,-0.41819480372200435,-0.23497947743079683,0.16158934988876272,0.13629959928795973,1.185545304116217,0.08381287762057954,0.6288128045428338,0.6586676930172044,0.6674560470859784
sh.588000,close_gt_ma20,bear_close_le_ma200,243,-0.06874073785096024,0.11885673420867021,-0.746619351791738,-0.1717780515694951,-0.2926070496364006,0.22386631178544036,0.21554824068103356,1.0385902992208405,-0.006017863956777168,0.2322582418574253,0.2305736274533705,0.20082705165104706
sh.510500,ret20_gt_0,bear_close_le_ma200,928,-0.09824618496632087,0.18388717281333322,-0.6430366140130636,-0.5149755965757271,-0.23497947743079683,0.13673329246447596,0.13571676428163781,1.007490070870896,0.060897052418789704,0.6419936895342657,0.6607726478842628,0.4463824360707711
sz.159915,ma5_gt_ma20,bear_close_le_ma200,944,-0.07888467034098978,0.157229619719053,-0.6289188418675988,-0.3997537766357544,-0.2764290405285287,0.1975443701875389,0.1977893271723802,0.9987615257691441,0.03205176150073646,0.39354556653853745,0.42371507632560423,0.3240874644975906
sz.159915,close_gt_ma20,bear_close_le_ma200,944,-0.08101450975872349,0.1589446016365402,-0.6355328128080381,-0.42854539613567,-0.2764290405285287,0.1954145307698052,0.19594837043477628,0.9972756105917768,0.03291978494987795,0.40291307061589665,0.4345940185350804,0.31739345393522056
sz.159949,close_gt_ma20,bear_close_le_ma200,676,-0.09184965539094991,0.16957982535083266,-0.6595693512453586,-0.3073441243797783,-0.25838402637626356,0.16653437098531365,0.19115928542716024,0.8711811754955021,0.024109907190930684,0.4457979892362316,0.4962679793848951,0.4471917453769878
sh.510500,close_gt_ma20,bear_close_le_ma200,928,-0.10007536828509189,0.16192224508748623,-0.7415619034939606,-0.44097474518470714,-0.23497947743079683,0.13490410914570494,0.16447352951095956,0.8202177550808607,0.015942858946928685,0.4923196679046608,0.5011580940144275,0.38364181074933135
sz.159949,ret20_gt_0,bear_close_le_ma200,676,-0.09845159432288852,0.14003821593091545,-0.8458519236015105,-0.3364305031660453,-0.25838402637626356,0.15993243205337504,0.22720984771269423,0.7038974483870472,-0.035352772307188064,0.2770968100469007,0.2811631011323763,0.307819012140793
sh.588080,close_gt_ma20,bear_close_le_ma200,244,-0.07767383511048986,0.11734478806039482,-0.8323661981495016,-0.17793479835041304,-0.23586150837527764,0.15818767326478778,0.23014427330242737,0.6873413402597115,-0.040416008960772486,0.20913123714004545,0.21400867572742888,0.1923357428447172
sh.510050,close_gt_ma20,bear_close_le_ma200,1052,-0.15949365344785227,0.15214359648103737,-1.179764759078925,-0.5361707607979612,-0.22179712094585824,0.06230346749800597,0.10765432437831805,0.5787363197697435,-0.014504975556425234,0.6625572056316426,0.6742083969718444,0.5962108950920089
sh.588000,ret20_gt_0,bear_close_le_ma200,243,-0.17881847642182747,0.08467303189300107,-2.3480731937539305,-0.19830837427923664,-0.2926070496364006,0.11378857321457314,0.22712819355890093,0.5009883248380808,-0.1687462130431865,0.13220056130591987,0.14719441313550352,0.16279377835521255
sh.588080,ma5_gt_ma20,bear_close_le_ma200,244,-0.1459431214093203,0.11388021057823378,-1.4571725900991392,-0.20584682697931944,-0.23586150837527764,0.08991838696595733,0.2311033714109224,0.38908297363639244,-0.11999752672541893,0.19990367099326511,0.20761856844125304,0.18423988242659384
sh.588000,ma5_gt_ma20,bear_close_le_ma200,243,-0.21670915851927064,0.09214221148168052,-2.5689546052010326,-0.22044460681069755,-0.2926070496364006,0.07589789111712997,0.22554497566106804,0.33650889759204206,-0.20960686575246984,0.14907073861811193,0.15804563060245824,0.18329064299386158
sz.159949,ma5_gt_ma20,bear_close_le_ma200,676,-0.2014789463519049,0.18445744704873815,-1.200704823228876,-0.5128184255520515,-0.25838402637626356,0.05690508002435868,0.17083059740378206,0.3331082422539069,-0.07691130262561552,0.533709914502679,0.6011828251594493,0.574781793679592
sh.588080,ret20_gt_0,bear_close_le_ma200,244,-0.1561314643062448,0.08272904431141222,-2.1290160640952553,-0.17728688053191088,-0.23586150837527764,0.07973004406903283,0.24381784616476093,0.32700659661784937,-0.15807006790295267,0.10964501312251473,0.11835399698972071,0.13539317021265707
sh.510050,ret20_gt_0,bear_close_le_ma200,1052,-0.21740161139140635,0.13571412838676689,-1.7492770591639795,-0.6451667939412749,-0.22179712094585824,0.004395509554451893,0.11724532444739118,0.03748984938349665,-0.1126359653980566,0.5657059861635844,0.6177121954576983,0.5931723760950972
sh.510050,ma5_gt_ma20,bear_close_le_ma200,1052,-0.2193201673102917,0.1475685769582259,-1.6217556084317264,-0.6448719020321634,-0.22179712094585824,0.002476953635566548,0.10855747715720598,0.02281697862211354,-0.09452938636443362,0.6405261689715142,0.6697931897725588,0.629154834967249
sh.510300,ret20_gt_0,bear_close_le_ma200,974,-0.2574700887265192,0.13003925639493305,-2.1337409672955556,-0.668187534976226,-0.23624395375491936,-0.021226134971599864,0.13139035897992732,-0.16155017108098935,-0.17477645272539044,0.49522664841227887,0.5365976258310994,0.6078624236308366
