code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
sh.588000,close_gt_ma20,all,836,0.2708445609004966,0.27346562930828466,0.917280030894534,-0.28672519638349836,0.20573406258638194,0.06511049831411464,0.17721605242625202,0.36740745221830395,0.10189792444125152,0.6995622610342059,0.7112259108911138,0.46128770095453886
sh.588080,ret20_gt_0,all,836,0.25080535825138917,0.2582763498265515,0.8936372161306647,-0.2250402636581531,0.20069134784839004,0.05011401040299912,0.19887277337460568,0.251990302908896,0.10112350982937982,0.6265623265351337,0.6313865346049112,0.3500122136474655
sh.588080,ma5_gt_ma20,all,836,0.24386436738709993,0.26784011044457906,0.8358134523448142,-0.2464962142056364,0.20069134784839004,0.04317301953870989,0.18622773623127062,0.23182915935301182,0.0881364524333949,0.6727073131142616,0.676763777598086,0.4262734295460158
sz.159915,ret20_gt_0,all,2263,0.13843584770703732,0.2082390734578403,0.568749398181584,-0.2747933974878368,0.09808265442006792,0.0403531932869694,0.18919279345560475,0.21329138679078982,0.06816066367641435,0.5448339030813956,0.5778832550228983,0.4249062297140254
sh.588000,ma5_gt_ma20,all,836,0.23972484595033738,0.26574315239191176,0.8268316378903052,-0.29095986056067147,0.20573406258638194,0.033990783363955446,0.19255561754410186,0.1765244961299059,0.08503125328279372,0.6543105045975681,0.6588763879544222,0.4280244608805654
sh.588080,close_gt_ma20,all,836,0.23230495259437256,0.26892312204019214,0.7894633640414243,-0.2579845852594327,0.20069134784839004,0.031613604745982515,0.18557870583967423,0.1703514667964882,0.07825291314157225,0.6765412139638391,0.6789976425294981,0.44098854285099987
sh.510500,ma5_gt_ma20,all,2198,0.04867625725877822,0.17762370797273339,0.16144386121688356,-0.36639861992661804,0.03764344585034207,0.01103281140843615,0.12515860568953424,0.08815064172098486,0.01577621027703971,0.6609227420334715,0.6833656354144227,0.5942656865515036
sh.588000,ret20_gt_0,all,836,0.21367840502586422,0.2587202901046712,0.7486015300443085,-0.2926782294242589,0.20573406258638194,0.007944342439482277,0.20114974881496323,0.039494667461853226,0.06908949390684517,0.6217993888327463,0.6277690873546558,0.3660231969651788
sz.159949,ret20_gt_0,all,1885,0.18321210536110177,0.24830308284234062,0.6573100240754275,-0.3543780377249318,0.18689147064312217,-0.003679365282020397,0.2011809337680698,-0.01828883688482195,0.056501731566383204,0.6011354444590693,0.6137427956769259,0.5384912385097332
sz.159845,close_gt_ma20,all,281,0.3478483222249009,0.18704103688320353,1.7528149313544679,-0.11237753677538798,0.3505243257228763,-0.0026760034979753655,0.11696995358368555,-0.02287769992197896,0.07746638778155576,0.7156262811897062,0.7230947157857552,0.8447952369613805
sh.512100,ma5_gt_ma20,all,396,0.28065841703044936,0.1948768913073406,1.3375542645503546,-0.13537781877360577,0.2910585040643905,-0.01040008703394113,0.13241171315689054,-0.0785435577109284,0.06698859057677699,0.6795280490782389,0.6923100717218369,0.8068003103222524
sh.510500,close_gt_ma20,all,2198,0.02432938142564023,0.16193429061044912,0.0267354209495692,-0.33301910230107257,0.03764344585034207,-0.013314064424701844,0.14602412112202012,-0.09117715842012428,-0.005704208480073021,0.549634456905297,0.5686222681287727,0.4567430768588933
sz.159915,close_gt_ma20,all,2263,0.06935797521918996,0.18265808821456947,0.27022058372366664,-0.3459320719362783,0.09808265442006792,-0.028724679200877956,0.21399213383451757,-0.13423240698693656,0.014664273950693007,0.42638643164158563,0.4600078511214043,0.35467175708888304
sh.510050,close_gt_ma20,all,2264,0.011101471865381907,0.14169487742987877,-0.06280063398214061,-0.4342552261792836,0.026786171430103867,-0.01568469956472196,0.11501577432096728,-0.1363699862677241,-0.012913410431549878,0.6003745209357475,0.6124883607515781,0.6736391898199281
sh.510050,ma5_gt_ma20,all,2264,0.011653410541573761,0.14649610278830194,-0.056974822534956435,-0.4883417635259154,0.026786171430103867,-0.015132760888530106,0.10445934309928678,-0.14486747130074024,-0.012980562174924971,0.6546088063691928,0.6811977078209087,0.7047603673937117
sz.159915,ma5_gt_ma20,all,2263,0.0666239299391218,0.1781397645931615,0.26172668435709623,-0.3548306228252798,0.09808265442006792,-0.03145872448094611,0.21525003675021423,-0.14614968227602312,0.012895760362735976,0.4135328921070872,0.45491962918658,0.3796004148185796
sh.510500,ret20_gt_0,all,2198,0.010945462657375504,0.18055145420356683,-0.05014934597212246,-0.5076091508537941,0.03764344585034207,-0.026697983192966568,0.12266021928982446,-0.21765804225316068,-0.020972228166372956,0.6778177572051588,0.6956287297614674,0.5008453584952499
sh.512100,close_gt_ma20,all,396,0.25398640376020687,0.1947822910468034,1.2012714426075999,-0.18679311779236163,0.2910585040643905,-0.03707210030418362,0.1376330067693129,-0.269354722202068,0.04924875763133468,0.6668227368721564,0.6673112092079858,0.8206322622207957
